,doctor_id,doctor_name,speciality_stream,experience_years,consultation_fees,locality,locality_latitude,locality_longitude,translated_practice_type,clinic_name,show_consultation_fees,summary,qualification_1,qualification_2,qualification_3,qualification_4,qualification_5,qualification_6,qualification_7,is_qualification_valid_in_country_1,is_qualification_valid_in_country_2,is_qualification_valid_in_country_3,is_qualification_valid_in_country_4,is_qualification_valid_in_country_5,is_qualification_valid_in_country_6,is_qualification_valid_in_country_7,college_1,college_2,college_3,college_4,college_5,college_6,college_7,completion_year_1,completion_year_2,completion_year_3,completion_year_4,completion_year_5,completion_year_6,completion_year_7,sub_specialty_1,sub_specialty_2,sub_specialty_3,sub_specialty_4,sub_specialty_5,sub_specialty_6,sub_specialty_7,sub_specialty_8,sub_specialty_9,sub_specialty_10,sub_specialty_11,sub_specialty_12,specialty_1,specialty_2,specialty_3,specialty_4,specialty_5,specialty_6,specialty_7,specialty_8,specialty_9,specialty_10,specialty_11,specialty_12,doctor_label_1,doctor_label_2,doctor_label_3,doctor_label_4,doctor_label_5,doctor_label_6,doctor_label_7,doctor_label_8,doctor_label_9,doctor_label_10,doctor_label_11,doctor_label_12,approved_1,approved_2,approved_3,approved_4,approved_5,approved_6,approved_7,approved_8,approved_9,approved_10,approved_11,approved_12
10,782700,Dr. Anup Bhoyar,,10.0,500,Viman Nagar,18.566427,73.914215,Clinic,Olive Health Center,True,,BDS,,,,,,,True,,,,,,,Government College Mumbai.,,,,,,,1997,,,,,,,Dentist,,,,,,,,,,,,Dentist,,,,,,,,,,,,Doctor,,,,,,,,,,,,True,,,,,,,,,,,
11,295480,Dr. Anshu S.R Sachdev,,20.0,800,Viman Nagar,18.566427,73.914215,Clinic,Olive Health Center,True,"Dr. Anshu S. R Sachdev is a fellowship-trained adult joint reconstruction & arthroscopy surgeon in Pune, India. He completed his diploma in orthopedic surgery from Mumbai, DNB in orthopedic surgery from Pune and MNAMS from National Board, New Delhi. Dr. Sachdev has received training for joint replacement surgery and sports injuries at some of the best centers in europe and Switzerland which includes center of excellence for joint replacement surgery (LKH, Austria) & Swiss Olympic Hospital (Switzerland).
Dr. Sachdev’s objective is to provide successful results by the use of advanced technology & latest operative techniques. He uses some of the most sophisticated methods to control pain and fasten post operative recovery. Dr. Sachdev’s knee & joint surgery clinic is located at Kalyani Nagar, Pune, India. He also visits Jehangir Hospital as a consultant orthopaedics.",BDS,,,,,,,True,,,,,,,"Government Dental College & Hospital, Mumbai",,,,,,,1984,,,,,,,Dentist,,,,,,,,,,,,Dentist,,,,,,,,,,,,Doctor,,,,,,,,,,,,True,,,,,,,,,,,
12,570183,Dr. Udaykumar Adate,,17.0,400,Sinhagad Road,18.46246,73.814445,Hospital,Adate Hospital,True,"Dr. Udaykumar Adate is an Obstetrician, Infertility Specialist and Gynecologist,  Obstetric Ultrasound Specialist. He has an experience of 14 years in these fields. Dr. Udaykumar Adate practices at Adate Hospital on Sinhgad Road, Pune and Lotus Polyclinic, Narhe. He completed MBBS from Bharati Vidyapeeth Medical College, Pune in 1999 and DGO from Mumbai in 2003. 

Some of the services provided by the doctor are Infertility Consultation, Ovulation Study, IUI, Obstetric Sonography, Abortion Service, Normal Vaginal Delivery (NVD), Breast, Cervix, Ovarian Cancer Detection and Treatment, HPV Test, Pap Smear.

He is a member of Indian Medical Association (IMA), Pune obstetric & Gynaecological Society and Federation of Obstetrics(POGS) and Gynaecological Societies of India (FOGSI).",BDS,,,,,,,True,,,,,,,M.A. Rangoonwala College of Dental Sciences  Research Centre,,,,,,,2007,,,,,,,Dentist,,,,,,,,,,,,Dentist,,,,,,,,,,,,Doctor,,,,,,,,,,,,True,,,,,,,,,,,
13,335874,Dr. Gaurav H Chopade,,15.0,500,Shivajinagar,18.517479,73.85523,Hospital,Vatsalya Hospital,True,"Dr. Gaurav H Chopade is Infertility Specialist and Laparoscopic Surgeon. 
MBBS MS DNB FMIS
Publications-
Should we manage large ovarian cysts laparoscopically? Journal of gynecologic surgery published first
Intraoperative transvaginal ultrasonography: a novel approach to locate deeper myomas during laparoscopic myomectomy	gynaecological surgery published third
Ovarian endometrioma reconstruction without suturing  gynecological surgery accepted third
Secondary hemorrhage after total laparoscopic hysterectomy	jsls	published	fourth
Primary retroperitoneal synovial sarcoma – rare cause of pelvic pain and mass in a post hysterectomy patient
Aagl published second  
A rare case of twisted hematosalpinx medical journal of western India published first",MBBS , MCh - Urology , MS - Urology , DNB - Urology/Genito - Urinary Surgery,,,,True , True , True , True,,,,University of Pune , University Of Bombay , University Of Bombay , National Board Of Examination,,,,1986 , 1994 , 1990 , 1997,,,,Urologist,,,,,,,,,,,,Urologist,,,,,,,,,,,,Doctor,,,,,,,,,,,,True,,,,,,,,,,,
14,32613,Dr. Seema Jain,,22.0,700,Pimple Saudagar,18.59811,73.80631,Clinic,CheQKmate - An IVF & Sexual Health Clinic,True,"Dr. Seema Jain is an Infertility Specialist & Obstetrician Gynecologist with around 19 years of experience, presently practicing at Aditya Birla Memorial Hospital & GynaeGalaxy, Pune with a special interest in the area of assisted reproduction. She has been closely associated with the field of assisted reproduction since last 15 years and has been keenly focusing on this intriguing aspect of Obstetrics & Gynecology. Her other areas of interest include High-Risk Pregnancy and Menopausal Medicine. An innate desire to keep abreast with cutting edge technology and follow the practice of evidence-based medicine inspired her to attain MRCOG from the Royal College of Obstetricians and Gynecologists, London. A positive disciplined way of taking things forward, an insatiable quest for doing more and a conscientious approach towards taking therapeutic women healthcare to preventive women healthcare motivated her to set up various specialty clinics for women’s health. Having started her practice as an Obstetrician Gynecologist, her keen interest in Infertility and the passion and charm of translating the hopes of infertile couples into babies motivated her to focus in the field of assisted reproduction. She is well versed in various aspects of ART including the ethical aspects of it. Being involved in the multidisciplinary and cohesive management of infertile couples as a part of a team including andrologists, sexual medicine specialists, infertility counselors and embryologists led her to setting up of an Infertility Clinic where the infertile couple is offered a complete array of treatments under one roof which has been the hallmark of her career.",MBBS , MD - Pediatrics,,,,,,True , True,,,,,,"Krishna Institute of Medical Sciences, Karad "," Krishna Institute of Medical Sciences, Karad",,,,,,1996 , 2000,,,,,,Pediatrician,,,,,,,,,,,,Pediatrician,,,,,,,,,,,,Doctor,,,,,,,,,,,,True,,,,,,,,,,,
15,507672,Dr. Surbhi Bhatia L,,15.0,200,Viman Nagar,18.56865,73.90732,Clinic,Lifeberries Healthcare Dental Clinic & Diagnostics,True,"Dr. Surbhi Bhatia L is an Endodontist, Restorative Dentist and Cosmetic/Aesthetic Dentist in Viman Nagar, Pune and has an experience of 10 years in these fields. Dr. Surbhi Bhatia L practices at Lifeberries Healthcare Dental and Diagnostics in Viman Nagar, Pune. She completed BDS from BJS Dental College and Hospital, Punjab in 2006 and MDS - Conservative Dentistry & Endodontics from BRS Dental College, Hospital and Research Center, Chandigarh in 2010.

She is a member of the Indian Dental Association, Indian Endodontic Society, Federation of Operative Dentistry of India (FODI) and International College of Continuing Dental Education. Some of the services provided by the doctor are Geriatric Dentistry and Bleaching etc. ",MBBS , Diploma in Child Health (DCH),,,,,,True , True,,,,,,Maharashtra Institute of Medical Education & Research (MIMER) , College of physicians and Surgeons Mumbai,,,,,,2005 , 2008,,,,,,Pediatrician,,,,,,,,,,,,Pediatrician,,,,,,,,,,,,Doctor,,,,,,,,,,,,True,,,,,,,,,,,
16,241614,Dr. Namrata Anand,AYUSH,19.0,250,Pimple Saudagar,18.593912,73.79331,Clinic,Pulsetila Health Clinic,True,"Dr. Namrata Anand is a Homeopathic consultant and Dietitian at Pimple Saudagar, serves ESP for all types of skin, hair problems, and specialization in weight management and dietetics nutrition. She having her clinics in Pimple Saudagar, Wakad & Nigdi.",BAMS,,,,,,,True,,,,,,,"DMM Ayurved College, Yeowatmal",,,,,,,1988,,,,,,,Ayurveda,,,,,,,,,,,,Ayurveda,,,,,,,,,,,,Doctor,,,,,,,,,,,,True,,,,,,,,,,,
17,320811,Dr. Mangala Wani,,37.0,700,Model Colony,18.534319,73.83395,Clinic,Hirkani Clinic,True,"Dr. Mangala Wani is a Gynecologist, Obstetrician and Infertility Specialist and Breast Feeding Specialist in Model Colony, Pune. 

Dr. Mangala Wani practices at Hirkani Clinic in Model Colony, Pune. She is a member of Federation of Obstetric and Gynaecological Societies of India (FOGSI), Committee Member Pune Obstetrics and Gynaecological Society, Treasurer: Maharashtra Chapter, ISSAR.2014-2016, Breastfeeding Promotion Network of India (BPNI) and Indian Medical Association (IMA). 

Some of the services provided by the doctor are abortion, pregnancy problems, hysterectomy, contraception advice, and endoscopy etc.",M.D. (Psychiatry) , MBBS,,,,,,True , True,,,,,,NHLM Medical College , NHLM Medical College,,,,,,1994 , 1990,,,,,,Psychiatrist,,,,,,,,,,,,Psychiatrist,,,,,,,,,,,,Doctor,,,,,,,,,,,,True,,,,,,,,,,,
18,644135,Dr. Munde Rajeev,,8.0,600,Pimple Saudagar,18.595999,73.78913,Clinic,Dr Munde's Orthopaedics Speciality Centre,True,"Dr. Munde Rajeev is an orthopaedist, Orthopaedic Surgeon.
Arthoscopy Sports Injury Surgeon ,",MBBS , DGO,,,,,,True , True,,,,,,"Government Medical College, Aurangabad Maharashtra "," Government Medical College, Aurangabad Maharashtra",,,,,,1975 , 1983,,,,,,General Physician,,,,,,,,,,,,General Physician,,,,,,,,,,,,Doctor,,,,,,,,,,,,True,,,,,,,,,,,
19,22701,Dr. Prashant Daundkar Patil,AYUSH,15.0,350,Chandan Nagar,18.56084,73.94102,Hospital,Shree Ayurved and Panchakarma Hospital,True,"Vaidya Prashant Daundkar Patil, by qualification Ayurveda Acharya & also holds yog Ayurved Padvika, is the most prolific Ayurveda consultant and owner at Shree Ayurveda Clinic along with Vaidya Priya Daundkar Patil specializing in garbha sanskar & yoga.",BAMS,,,,,,,True,,,,,,,Astyant Ayurved College Pune,,,,,,,2003,,,,,,,Ayurveda,,,,,,,,,,,,Ayurveda,,,,,,,,,,,,Doctor,,,,,,,,,,,,True,,,,,,,,,,,
20,556776,Dr. Ankit Srivastava   (Physiotherapist),Therapist,14.0,500,Viman Nagar,18.56455,73.90745,Clinic,Physio Active Speciality Physiotherapy Clinic,True,"Dr. Ankit Srivastava (PT) is involved in assessment, planning and treating patients with different complaints and injuries. Has worked with consultant orthopedic surgeons at Sancheti Hospital in the field of joint replacement, trauma, arthritis, muscle injuries and pain. Gained the first-hand experience in treating conservative and operatively managed (both pre and post) patients. He is specilized in Orthopedic Physiotherapy, Sports physiotherapy. He is certified Neural Tissue Manipulator, Mulligan Mobilization specialist",BAMS,,,,,,,True,,,,,,,"Chaitanya Ayurvedic College, Jalgao",,,,,,,2000,,,,,,,General Physician,,,,,,,,,,,,General Physician,,,,,,,,,,,,Doctor,,,,,,,,,,,,True,,,,,,,,,,,
21,601853,Dr. Nikhil Mahadar,,10.0,350,Wakad,18.61363,73.766266,Clinic,Srushti Total Women's Care Clinic,True,"Dr. Nikhil Mahadar, MS in obstetrics and gynaecology, MRCOG from London, UK; having worked in UK for 2 years. Fellowship in Laparoscopic surgeries, infertility and high-risk pregnancy and labour. Specialised in laparoscopy, infertility, urogynaecology and obstetrics. My practice is supplemented with ultrasonography done by myself at the same time of consulting, which saves patient's time and repeated visits. Also, it gives diagnosis and treatment plan at the single visit.

Honest opinion, exact diagnosis, compassionate care and evidence-based treatment are distinguished features of my practice. One can consult me for any gynaecological problem like excess or abnormal bleeding, pain in the abdomen, vaginal discharge, infertility, pregnancy booking, and ultrasonography. At present, practicing in Surya Hospital",MBBS , MD - General Medicine,,,,,,True , True,,,,,,"Government Medical College, Miraj "," B J Medical College, Pune",,,,,,1973 , 1979,,,,,,Psychiatrist,,,,,,,,,,,,Psychiatrist,,,,,,,,,,,,Doctor,,,,,,,,,,,,True,,,,,,,,,,,
22,460151,Dr. Prashant Gupta,,10.0,200,Kalyani Nagar,18.54584,73.90501,Clinic,Braces and Smiles Orthodontic and Dental Care,True,"Dr. Prashant Gupta is a Dentist and Orthodontist and Dentofacial Orthopaedician in Kalyani Nagar, Pune. He is the Director and Orthodontist and Dentofacial Orthopaedician at Braces & Smiles Orthodontic and Dental Care, Pune. He has an experience of 7 years in this field. He completed BDS from KLE VK Institute of Dental Science Belgaum, Karnataka and MDS - Orthodontics from Government Dental College and Hospital, Goa.  
Excellent in patient care, Dr. Prashant Gupta has years of experience in the latest and the best in Dentistry and Orthodontics including Invisalign®, Invisalign Teen®, Temporary anchorage device, Self-ligation systems, Damon system, Lingual systems, Ortho-Surgical treatment, Growth modifications and early treatment. Dr. Prashant Gupta is certified in lingual treatment and various clear aligners. He also provides various dental treatments at his clinic. With his dedicated team of doctors and a friendly office staff, Dr. Prashant Gupta wants his patients to feel comfortable at each appointment while providing the best of orthodontic and dental treatment.",MBBS , M.D. (Psychiatry) , DNB - Psychiatry,,,,,True , True , True,,,,,"Byramjee Jeejeebhoy Government Medical College & Sasson General Hospital, Pune "," Byramjee Jeejeebhoy Government Medical College & Sasson General Hospital, Pune "," DNB board, New Delhi",,,,,1994 , 1998 , 2002,,,,,Homoeopath,,,,,,,,,,,,Homoeopath,,,,,,,,,,,,Doctor,,,,,,,,,,,,True,,,,,,,,,,,
23,571491,Dr. Apeksha Tapadia,,11.0,500,Kalyani Nagar,18.550152,73.91583,Clinic,Ganga Clinic,True,"Dr. Apeksha Tapadia practices at Ganga Nursing Home, Mundhwa & Ganga Clinic, Wadegaon Sheri. She has done DNB(Obs & Gynac) from Jehangir Hospital, Pune & fellowship in infertility. She has an expertise the field for the last 7 years. She has also trained & specialized in Ultra Sonography & IVF. She holds an experience with Nobel Polyclinic, Magarpatta City. Also, she is a panel consultant at all big hospitals in Pune like Columbia Asia, Jehangir Hospital, Sahyadri Hospital. She has patient friendly timings & provides affordable services to all classes of patients.",BHMS,,,,,,,True,,,,,,,"BHARATI VIDYAPEETH HOMOEOPATHIC MEDICAL COLLEGE, PUNE",,,,,,,1997,,,,,,,General Physician,,,,,,,,,,,,General Physician,,,,,,,,,,,,Doctor,,,,,,,,,,,,True,,,,,,,,,,,
24,444486,Dr. Mahesh Sulakshane,,16.0,750,Aundh,18.56066,73.80594,Clinic,Pediatric Center & Surgical Clinic,True,"Dr. Mahesh Sulakshane is a Pediatrician in Aundh, Pune and has an experience of 13 years in this field. Dr. Mahesh Sulakshane practices at Dr. Sulakshane's Pediatric Center & Surgical Clinic in Aundh, Pune and Vitalife Clinic in Baner, Pune. He completed MBBS from Seth G S Medical College Mumbai in 2003, MD - Paediatrics from Ruby Hall Clinic, Pune in 2007 and Certification-Nutrition and Child Health from NNI in 2014.",MBBS , MD - Medicine , FCCM,,,,,True , True , True,,,,,"Government Medical College, Miraj ", Dr. Vaishampayan Memorial Government Medical College ," University Of Hyderabad,",,,,,1997 , 2003 , 2014,,,,,General Physician,,,,,,,,,,,,General Physician,,,,,,,,,,,,Doctor,,,,,,,,,,,,True,,,,,,,,,,,
25,254969,Dr. Ajay Kothadiya,,21.0,500,Shivajinagar,18.52934,73.8321,Clinic,Kothadiya Ent Clinic,True,Dr. Ajay Kothadiya has special interest in Sinus Endoscopy & Cochlear Implants. ,MBBS , MD - General Medicine,,,,,,True , True,,,,,,University of Pune , University of Pune,,,,,,2001 , 2003,,,,,,Dentist,,,,,,,,,,,,Dentist,,,,,,,,,,,,Doctor,,,,,,,,,,,,True,,,,,,,,,,,
26,566748,Dr. Anup Sunil Tamhankar,,14.0,1000,Erandwane,18.50211,73.83223,Clinic,Novo Life Cancer Clinic,True,"Dr. Anup Sunil Tamhankar is a cancer specialist specializing in Surgical Oncology having more than 11 years of clinical experience. He did 3 years in General Surgery residency at KEM Hospital, Mumbai. He worked as a senior resident in the field of surgical Oncology for 3 years at Tata Memorial Center, Mumbai. He is a distinguished candidate of Tata Memorial Centre & was felicitated with a gold medal for M.CH Course at Tata Memorial Center Mumbai. He worked as specialist registrar (Post-super specialty) for 1 year at Department of Surgical Oncology at Tata Memorial Centre, Mumbai. Later he did Fellowship in minimal access and Robotic GI surgery (Department of Surgical Oncology at Tata Memorial Centre.

Dr. Anup Tamhankar has been honored with many awards and recognition's throughout his long illustrious career and has been involved in actively creating & conducted cadaver liver surgery & organ retrieval workshop in IHPBA, Indian chapter, Mumbai, 2014. He specializes in the field of Peritonectomy & hyperthermic intraoperative intraperitoneal chemotherapy (HIPEC). He has also been visiting fellow to Peritoneal Malignancy Center, Basingstoke, UK for advanced training in HIPEC.  

He has keen interest and expertise for advanced Laparoscopic Gastrointestinal Onco-surgery as well as Peritonectomy & HIPEC. He also specializes in reconstructive surgery for Head & neck & breast Oncosurgery in the form of free flaps & Oncoplasty.

His areas of expertise are Breast Surgery, Gastro-Intestinal Surgery, Thoracic Surgery, Head & Neck Surgery, Urological  Oncosurgery, Bone & Soft Tissue Surgery, Pediatric Surgery, and Oncology.",MDS - Oral & Maxillofacial Surgery , BDS,,,,,,True , True,,,,,,Bharatiya Vidyapeeth University , Bharatiya Vidyapeeth University,,,,,,2012 , 2007,,,,,,General Physician,,,,,,,,,,,,General Physician,,,,,,,,,,,,Doctor,,,,,,,,,,,,True,,,,,,,,,,,
